Index,AvgBlockSize,BitcoinDaysDestroyed,BitcoinDaysDestroyedMinYear,CostPerTransactionPercent,CostPerTransaction,EstimatedTransactionVolumeUSD,EstimatedTransactionVolume,EuroPriceInUSD,MarketPrice,MedianConfirmationTime,OutputVolume,SP500.Close,SP500.Volume,TradeVolume,TransactionFeesUSD,TransactionFees,TxTradeRatio,WikipediaTrend,Y
37,38,-0.787023198880578,-0.530926981139991,-0.276754326525458,-0.0287888899990259,-0.732719086878351,-0.610708093989111,-0.5484281392686261,0.005381586690355739,-0.711431369178173,-1.10654491164431,-0.481191910501615,-1.60462331079323,1.4011925878336497,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
38,39,-0.7872141213890308,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.0328094532731389,-0.711431369178173,-1.10654491164431,-0.482155331463602,-1.71275571400791,2.4660939208585897,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
39,40,-0.787168309905514,-0.532546070810209,-0.276754326525458,-0.0268410511637119,-0.732719086878351,-0.610708093989111,-0.5549751193823089,-0.0598226278814635,-0.711431369178173,-1.10654491164431,-0.4819198114343,-1.69610436011026,1.71474103720991,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
40,41,-0.7871909792698359,-0.5326482993639879,-0.276754326525458,-0.0255113717458995,-0.732719086878351,-0.610708093989111,-0.5555059556077429,-0.157628949739194,-0.711431369178173,-1.10654491164431,-0.482262378237157,-1.6924349679236101,2.20453525788344,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
41,42,-0.7872131906010759,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.166943837535169,-0.711431369178173,-1.10654491164431,-0.482219559527735,-1.7135653675504698,1.15387322244192,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
42,43,-0.7872131793274979,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.18495262057633602,-0.711431369178173,-1.10654491164431,-0.481855600497651,-1.73739726775621,1.2899402832823899,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
43,44,-0.7871453448124441,-0.5321991872376489,-0.276754326525458,-0.0283120468875546,-0.732719086878351,-0.610708093989111,-0.553028719889052,-0.202961403710653,-0.711431369178173,-1.10654491164431,-0.48187700985236204,-1.7612291679619398,1.4260073441228602,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314394296364541,-0.711431369178173
44,45,-0.7872130787035991,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.22097018675182,-0.711431369178173,-1.10654491164431,-0.48224096888244605,-1.7850610681676697,1.5620744049633402,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.314355802094498,-0.711431369178173
45,46,-0.787072543807115,-0.53186347688642,-0.276754326525458,-0.0286626448514984,-0.732719086878351,-0.610708093989111,-0.5509053749873171,-0.342995216879083,-0.711431369178173,-1.10654491164431,-0.48170573501467495,-1.8088929683734,1.69814146580381,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
46,47,-0.7872128416700721,-0.532673728074601,-0.276754326525458,-0.0291474560985132,-0.732719086878351,-0.610708093989111,-0.556213737241655,-0.37839179050378496,-0.711431369178173,-1.10654491164431,-0.482219559527735,-1.8107909141421201,1.54932417086426,-0.47564227765726097,-0.580406611056386,-0.7790041386456491,-0.6428166483358551,-0.31443279063458396,-0.711431369178173
